CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
BANDSPORTS HD,Canal de programação comum,04334366000158,Programadora brasileira,329330006,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2011-03-19
BIS,Canal brasileiro de espaço qualificado,27865757000102,Programadora brasileira independente,472730016,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo videomusical,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
BIS (HD),Canal brasileiro de espaço qualificado,27865757000102,Programadora brasileira independente,472730098,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo videomusical,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
BLOOMBERG TELEVISION,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,622730001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo jornalístico,BLOOMBERG L.P.,1997-02-02
BLOOMBERG TELEVISION HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,622730002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo jornalístico,BLOOMBERG L.P.,2016-09-30
BM&C NEWS,Canal de programação comum,37675914000162,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5170530001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,BM&C CONTEUDOS E TREINAMENTOS ON LINE S.A.,2023-05-15
BOX KIDS TV,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,4440130001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,CONTAINER MEDIA ENTERTAINMENT CORP,2022-04-02
BOX KIDS TV HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,4440130002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,CONTAINER MEDIA ENTERTAINMENT CORP,2022-04-02
C3 TV,Canal brasileiro de espaço qualificado,03595286000193,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",1236230001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TV METEOROLÓGICA LTDA,1999-08-10
CANAL 07,Canal de programação comum,08646003000109,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3212930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CANAL 07 SERVIÇOS DIGITAIS MARKETING E PUBLICIDADE LTDA,2007-02-05
CANAL AGROPLUS HD,Canal de programação comum,50782490000101,Programadora brasileira,5377330001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,CANAL AGROPLUS LTDA,2023-12-13
CANAL BRASIL,"Canal brasileiro de espaço qualificado nos termos do art. 17, §4º da lei 12.485/2011",02608224000106,Programadora brasileira independente,150030001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CANAL BRAZIL S/A,1998-09-18
CANAL BRASIL HD,"Canal brasileiro de espaço qualificado nos termos do art. 17, §4º da lei 12.485/2011",02608224000106,Programadora brasileira independente,150030002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,CANAL BRAZIL S/A,2014-10-27
CANAL DO CRIADOR SD,Canal de programação comum,01815092000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",445230002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,CANAL RURAL PRODUCOES LTDA,2020-09-12
CANAL FUTURA,Canal de programação comum,29527413000100,Programadora brasileira independente,42130001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,FUNDACAO ROBERTO MARINHO,1997-09-22
CANAL FUTURA HD,Canal de programação comum,29527413000100,Programadora brasileira independente,42130002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,FUNDACAO ROBERTO MARINHO,2017-10-17
CANAL FX,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630002,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2005-01-01
CANAL LIKE,Canal de programação comum,28120721000154,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3774630001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,CANAL LIKE PROGRAMAÇÃO LTDA,2018-04-24
CANAL LIKE+ HD,Canal de programação comum,28120721000154,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3774630002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,CANAL LIKE PROGRAMAÇÃO LTDA,2024-06-09
CANAL LIKE+ SD,Canal de programação comum,28120721000154,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3774630003,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CANAL LIKE PROGRAMAÇÃO LTDA,2024-06-09
CANAL PAULISTÃO 1 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130016,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 1 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130015,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 2 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130018,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 2 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130017,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 3 - HD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130020,CANAL À LA CARTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 3 - SD,Canal de programação comum,29037988000145,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4418130019,CANAL À LA CARTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL RURAL HD,Canal de programação comum,01815092000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",445230004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de televenda ou infomercial,CANAL RURAL PRODUCOES LTDA,2022-07-05
CANAL RURAL SD,Canal de programação comum,01815092000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",445230001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,CANAL RURAL PRODUCOES LTDA,1998-10-27
CANAL SIDYS,Canal de programação comum,17054936000106,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2303330001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo jornalístico,SIDY'S TV LTDA,2012-11-10
CANAL TCM 10 HD,Canal de programação comum,04209895000120,Programadora brasileira,2381730001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,PROGRAMADORA CANAL TCM LTDA,2000-12-22
CARTOON NETWORK,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330002,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",1993-04-30
CARTOON NETWORK HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330016,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2014-02-27
CARTOONITO,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2001-07-03
CARTOONITO HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330023,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2017-04-01
CHEF TV,Canal brasileiro de espaço qualificado,71841282000106,Programadora brasileira independente,1816030001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,"MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA",2011-01-17
CHEF TV HD,Canal brasileiro de espaço qualificado,71841282000106,Programadora brasileira independente,1816030003,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,"MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA",2013-03-21
CINEBRASILTV,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",73560195000106,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",25930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CONCEITO A EM AUDIOVISUAL S.A,2004-07-10
CINEBRASILTV HD,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",73560195000106,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",25930002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,CONCEITO A EM AUDIOVISUAL S.A,2018-04-23
CINECANAL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630010,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2005-01-01
CINECANAL HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630018,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2015-08-03
CINEMAX,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
CINEMAX HD,Canal de espaço qualificado,05517603000189,PROGRAMADORA ESTRANGEIRA,626130002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
CNN BRASIL,Canal de programação comum,32161939000124,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4279330001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo jornalístico,NOVUS MIDIA S.A.,2020-03-15
CNN BRASIL 1,Canal de programação comum,32161939000124,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4279330002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo jornalístico,NOVUS MIDIA S.A.,2023-07-01
CNN INTERNATIONAL,Canal de programação comum,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330005,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo jornalístico,"TURNER INTERNATIONAL LATIN AMERICA, INC",1989-01-01
COMBATE,Canal de programação comum,27865757000102,Programadora brasileira independente,472730010,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
COMBATE 2,Canal de programação comum,27865757000102,Programadora brasileira independente,472730100,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
COMBATE HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730099,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
COMEDY CENTRAL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930007,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2012-02-01
COMEDY CENTRAL HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930008,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2012-02-01
CONMEBOL TV 01 HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,4745230002,"CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,PARAGUAI,Canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CONMEBOL TV 02 HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,4745230004,"CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,PARAGUAI,Canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CONMEBOL TV 03 HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,4745230006,"CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,PARAGUAI,Canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CONMEBOL TV 04 HD,Canal de programação comum,,PROGRAMADORA ESTRANGEIRA,4745230008,"CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,PARAGUAI,Canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CURTA! O CANAL INDEPENDENTE,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",17164803000184,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2283130001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CURTA! PROGRAMADORA DE CANAIS DE TV LTDA,2012-11-01
CURTA! O CANAL INDEPENDENTE HD,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",17164803000184,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2283130003,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,CURTA! PROGRAMADORA DE CANAIS DE TV LTDA,2017-09-01
CÑN (EN ESPAÑOL),Canal não adaptado ao mercado brasileiro,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330006,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo jornalístico,"TURNER INTERNATIONAL LATIN AMERICA, INC",1999-03-01
DISCOVERY CHANNEL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930002,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",1996-04-01
DISCOVERY CHANNEL HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930014,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-12-04
DISCOVERY HOME AND HEALTH,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930005,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2000-07-10
DISCOVERY HOME AND HEALTH HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930012,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-12-04
DISCOVERY KIDS,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930006,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo infantil e adolescente,"DISCOVERY NETWORKS, SL",1998-03-02
DISCOVERY KIDS HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930015,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo infantil e adolescente,"DISCOVERY NETWORKS, SL",2013-04-15
DISCOVERY SCIENCE,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930007,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2005-02-28
DISCOVERY SCIENCE HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930019,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2017-10-03
DISCOVERY THEATER HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930004,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2009-03-16
DISCOVERY TURBO,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930008,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2005-02-28
DISCOVERY TURBO HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930016,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2014-11-04
DISCOVERY WORLD HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930011,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2009-12-07
DISNEY CHANNEL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,622230001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"BUENA VISTA INTERNATIONAL, INC",2001-04-01
DISNEY CHANNEL HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,622230002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"BUENA VISTA INTERNATIONAL, INC",2009-12-01
DIÁRIO TV,Canal de programação comum,07002863000147,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",2522730001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo jornalístico,GRUPO SERRA COMUNICACOES DE TERESOPOLIS LTDA - ME,2009-08-20
DREAMWORKS,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,5086130001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2022-04-01
DREAMWORKS HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,5086130002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2022-04-01
DUNAS TV,Canal de programação comum,40341207000144,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4877230001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,DUNAS TELECOMUNICAÇÕES LTDA,2021-04-01
E! ENTERTAINMENT TELEVISION,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,5086130005,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",1997-06-01
